"id","name","rarity","unlockAt","included","stacking","weight","poolExcludedIfPowerOwned","conditions","description"
"above_9","Above 9?","common","0","true","unique","1","","Available from run start","Is the next face down card above 9?"
"below_5","Below 5?","common","0","true","unique","1","","Available from run start","Is the next face down card below 5?"
"mid_range","Between 5 and 9?","common","0","false","unique","1","","Available from run start | Excluded from random pool","Is the value of the next face down card a 5, 6, 7, 8 or 9?"
"is_it_an_ace","Is it an Ace?","common","0","false","unique","1","","Available from run start | Excluded from random pool","Reveals whether at least one Ace appears in the next three face down cards."
"is_it_a_king","Is it a King?","common","0","false","unique","1","","Available from run start | Excluded from random pool","Reveals whether the next face down card is a King."
"ace_ahead","Ace ahead?","uncommon","25","true","unique","1","","Meta progression >= 25","Reveals whether at least one Ace appears in the next three face down cards."
"king_ahead","King ahead?","uncommon","25","true","unique","1","","Meta progression >= 25","Reveals whether at least one King appears in the next three face down cards."
"number_remaining","Number Remaining?","rare","40","true","unique","1","","Meta progression >= 40","Reveals how many copies of the next face down card's rank are still left in the deck, including that next card."
"next_two_total","Total of Next Two","uncommon","0","true","unique","1","","Available from run start","Reveals the total of the next two face down cards."
"next_three_total","Total of Next Three","rare","20","true","unique","1","","Meta progression >= 20","Reveals the total of the next three face down cards."
"total_above_12","Total Above 12?","common","0","false","unique","1","","Available from run start | Excluded from random pool","Reveals whether the next two face down cards total more than 12."
"total_above_20","Total Above 20?","uncommon","15","true","unique","1","","Meta progression >= 15","Reveals whether the next two face down cards total more than 20."
"total_under_10","Total Under 10?","common","0","false","unique","1","","Available from run start | Excluded from random pool","Reveals whether the next two face down cards total less than 10."
"total_under_15","Total Under 15?","common","5","false","unique","1","","Meta progression >= 5 | Excluded from random pool","Reveals whether the next two face down cards total less than 15."
"prime_ahead","Prime Ahead?","rare","15","false","unique","1","","Meta progression >= 15 | Excluded from random pool","Reveals whether the next face down card is prime-valued: 2, 3, 5, 7, J = 11, or K = 13."
"product_of_next_two","Product of Next Two","rare","35","true","unique","1","","Meta progression >= 35","Reveals the product of the next two face down cards."
"top_half_bottom_half","Top Half / Bottom Half","common","0","true","unique","1","","Available from run start","Is the next card below 7 or is it 7 and above?"
"face_card_ahead","Face Card Ahead?","uncommon","10","true","unique","1","","Meta progression >= 10","Reveals whether at least one face card (J, Q, or K) appears in the next three face down cards."
"what_is_it_not","What is it Not?","uncommon","0","true","unique","1","","Available from run start","Reveals two remaining cards that the next face-down card is not."
"one_of_next_two_higher","One of Next 2 Higher?","common","5","true","unique","1","","Meta progression >= 5","Reveals if at least one of the next two cards is higher than the current card."
"one_of_next_two_lower","One of Next 2 Lower?","common","5","true","unique","1","","Meta progression >= 5","Reveals if at least one of the next two cards is lower than the current card."
"higher_of_next_two","Higher of Next Two","uncommon","25","true","unique","1","","Meta progression >= 25","Reveals the highest value of the next two face down cards."
"lower_of_next_two","Lower of Next Two","uncommon","30","true","unique","1","","Meta progression >= 30","Reveals the lowest value of the next two face down cards."
"next_card_parity","Next Card Parity","common","0","true","unique","1","","Available from run start","Reveals if the next card is odd, even or a picture card."
"chance_higher","Chance Higher","rare","50","false","unique","1","","Meta progression >= 50 | Excluded from random pool","Calculates the probability that one of the remaining cards is higher than the current card."
"chance_lower","Chance Lower","rare","50","false","unique","1","","Meta progression >= 50 | Excluded from random pool","Calculates the probability that one of the remaining cards is lower than the current card."
"nudge_up","Nudge +1","common","0","true","stackable","1","nudge_engine","Available from run start | Excluded when power 'nudge_engine' is active","Increases the value of the current face card by one for the next guess."
"nudge_down","Nudge -1","common","0","true","stackable","1","nudge_engine","Available from run start | Excluded when power 'nudge_engine' is active","Decreases the value of the current face card by one for the next guess."
"nudge_up_2","Nudge +2","uncommon","30","true","stackable","1","nudge_engine","Meta progression >= 30 | Excluded when power 'nudge_engine' is active","Increases the value of the current face card by two, stopping at King."
"nudge_down_2","Nudge -2","uncommon","30","true","stackable","1","nudge_engine","Meta progression >= 30 | Excluded when power 'nudge_engine' is active","Decreases the value of the current face card by two, stopping at Ace."
"next_card_nudge_up","Next Card Nudge Up","uncommon","10","true","unique","1","","Meta progression >= 10","Temporarily nudges the next face-down card up by 3 for the next guess, stopping at King."
"next_card_nudge_down","Next Card Nudge Down","uncommon","15","true","unique","1","","Meta progression >= 15","Temporarily nudges the next face-down card down by 3 for the next guess, stopping at Ace."
"need_the_nudge","Need The Nudge","uncommon","30","true","unique","1","","Available from run start","Swap your stored Nudge +1 and Nudge -1 charge totals."
"nudge_nudge","Nudge, Nudge","uncommon","0","true","unique","1","","Available from run start","For this turn only, each Nudge moves the card twice as far while still costing one charge."
"halve_it","Halve It","uncommon","45","true","unique","1","","Meta progression >= 45 | Can only be used on an even card.","Can only be used on an even card. Treat the current card as half its value for the next guess."
"double_trouble","Double Trouble","rare","45","true","unique","1","","Meta progression >= 45","Treat the current card as double its value for the next guess, up to King."
"odd_one_out","Odd One Out","rare","35","true","unique","1","","Meta progression >= 35","For the next card only: if it is odd, you lose. Aces count as odd even under Aces Wild. Otherwise you survive."
"lucky_7","Lucky 7","rare","20","true","unique","1","","Meta progression >= 20 | Can only be used on a 7.","Play on a 7. Your next guess is safe even if it is wrong."
"five_alive","Five Alive","uncommon","0","true","unique","1","","Available from run start | Can only be used on a 5.","Can only be used on a 5. Locks the 5 against nudges, and if your next guess is wrong, the run still continues."
"six_seven","6/7","rare","20","true","unique","1","","Meta progression >= 20","Use only on an un-nudged 6 or 7, and it must be the first and only cheat played on that card. Nudges then lock. Guess correctly to pick 3 cheats in a row. Guess wrong and you lose."
"higher_higher_higher","Higher, Higher, Higher","rare","0","true","unique","0.75","","Available from run start","Choose a new Power if your next three successful guesses are Higher."
"psycho","Psycho","rare","40","true","unique","0.75","","Meta progression >= 40","For the next three guesses, you cannot use Cheats or Nudges. Survive all three to choose a new Power."
"back_to_square_one","Back To Square One","uncommon","0","true","unique","0.85","","Available from run start","Treat the current face-up card as an Ace for the next guess."
"flip_that_frown","Flip That Frown","uncommon","0","true","unique","1","","Available from run start | Can only be used on a 6 or 9.","Can only be used on a 6 or 9. Treat a 6 as a 9, or a 9 as a 6, for the next guess."
"king_for_a_day","King For A Day","rare","0","true","unique","0.85","","Available from run start","Treat the current face-up card as a King for the next guess."
"reroll","Reroll","uncommon","0","true","repeatable","0.9","","Available from run start","Immediately choose another Cheat using this run's normal offer size."
"nine_to_five","9 to 5","uncommon","40","true","unique","1","","Meta progression >= 40 | Can only be used on a 9.","Can only be used on a 9. Treat the current card as a 5 for the next guess."
"stitch_in_time_saves","A Stitch In Time Saves...","rare","30","true","unique","0.8","","Meta progression >= 30 | Can only be used on a 9.","Can only be used on a 9. If your next guess is wrong, the run continues."
"catch_22","Catch-22","rare","50","true","unique","0.75","","Meta progression >= 50 | Can only be used on a 2.","Can only be used on a 2. If the next card is also a 2, choose a new Power."
"sixth_sense","Sixth Sense","uncommon","20","true","unique","0.85","","Meta progression >= 20 | Can only be used on a 6.","Can only be used on a 6. Reveals whether the next card is higher, lower, or neither."
"twin_peek","Twin Peek","uncommon","15","true","unique","1","","Meta progression >= 15","Checks the next five cards and reveals whether any of them match the face-up card's current value."
"run_stopper","Run Stopper","uncommon","10","true","unique","1","","Meta progression >= 10","Checks the next five cards and reveals whether at least one Ace or King appears."
"bang_average","Bang Average","uncommon","20","false","unique","1","","Meta progression >= 20 | Excluded from random pool","Reveals the exact average value of the next three face down cards."
"god_save_the_king","God Save The King","rare","20","true","unique","1","","Meta progression >= 20","Play on any face card. If the next card is a King, the run survives even if your guess is wrong."
"jack_of_all_trades","Jack Of All Trades","rare","0","true","unique","0.8","","Available from run start | Can only be used on a Jack.","Can only be used on a Jack. Swap the current Jack with the next face-down card and reveal that new current card."
"fortune_teller","Fortune Teller","uncommon","0","true","unique","0.9","","Available from run start","Reveals the values of the next three face-down cards in a random order."
"lucky_dip","Lucky Dip","common","0","true","unique","1","","Available from run start","Reveals one random true fact about the next face-down card."
"split_the_difference","Split the Difference","common","0","true","unique","1","","Available from run start","Reveals the value difference between the current card and the next face-down card."
"false_shuffle","False Shuffle","legendary","30","true","unique","0.75","","Meta progression >= 30","Rearranges the next three face-down cards into ascending value order."
"the_river","The River","legendary","30","true","unique","0.75","","Meta progression >= 30","Reveals the values of the next five face-down cards in a random order."
"equals_11","Equals 11","uncommon","60","true","unique","0.85","","Meta progression >= 60","Arm this card. If it and the next revealed card total 11, choose 3 extra cheats."
"wl","WL","uncommon","60","true","unique","0.8","","Meta progression >= 60","Win your next guess, then lose the one after. If you do, the run survives and you choose 3 extra cheats."
"you_can_cheat_a_cheater","You Can Cheat A Cheater","rare","20","true","unique","0.8","","Meta progression >= 20","After your next three correct guesses, choose two extra Cheats in addition to any normal rewards."
"suits_you_sir","Suits You, Sir","uncommon","0","true","unique","0.85","","Available from run start","If the next card is the same suit as the current card, gain 5 Nudge +1 and 5 Nudge -1 charges."
"all_in","All In","rare","0","true","unique","0.75","","Available from run start","Stake all current Nudges. Get the next three guesses correct to win double the staked Nudges back."
"lucky_13","Lucky 13","uncommon","0","true","unique","0.85","","Available from run start","Arm this card. If the next revealed card is a King, gain 5 Nudge +1 and 5 Nudge -1 charges."
"cursed_shield","Cursed Shield","rare","30","true","unique","0.75","","Meta progression >= 30","Lose all currently stored nudges now. Your next wrong guess is survived."
"one_life_left","One Life Left","legendary","30","true","stackable","0.75","","Meta progression >= 30","Adds one stored life. Each life survives one wrong guess, and multiple lives can be stacked."
"killer_queen","Killer Queen","rare","0","true","stackable","0.8","","Available from run start","Adds one stored save. It continues the run when you guess Lower on a Queen and reveal a King."
"higher_the_better","The Higher The Better","rare","30","true","unique","0.7","","Meta progression >= 30","Locks this card's value. You must choose Higher on your next guess and gain Nudge +1 charges equal to the card-value difference."
"lower_the_better","The Lower The Better","rare","30","true","unique","0.7","","Meta progression >= 30","Locks this card's value. You must choose Lower on your next guess and gain Nudge -1 charges equal to the card-value difference."
"suited_and_booted","Suited and Booted","uncommon","50","true","unique","0.75","","Meta progression >= 50","Survive your next guess regardless of outcome unless the revealed next card matches the current card's suit."
"always_bet_on_the_black","Always Bet On The Black","rare","30","true","unique","0.85","","Meta progression >= 30","For the next card only: if it is a Club or a Spade, the run survives even on a wrong guess."
"red_dead_redemption","Red? Dead? Redemption","rare","30","true","unique","0.85","","Meta progression >= 30","For the next guess, a losing guess is saved if the revealed card is a Heart or Diamond."
"margin_of_error","Margin Of Error","common","0","true","unique","1","","Available from run start","If your next guess is wrong by 3 or less, the run continues."
"corporate_icebreaker","Corporate Icebreaker","uncommon","30","true","unique","0.8","","Meta progression >= 30","Hear two true value-and-suit facts and one lie about the next three cards."
"legends_ahead","Legends Ahead","rare","30","true","unique","0.65","","Meta progression >= 30","Your next Cheat pick offers Legendary Cheats only."
"royal_flush","Royal Flush","uncommon","0","true","unique","0.9","","Available from run start","Reveals whether the next face-down card is a royal card: 10, J, Q, K, or A."
"number_of_the_beast","The Number Of The Beast","legendary","30","true","unique","0.75","","Meta progression >= 30","Pulls all remaining face-down 6s to the top of the face-down deck, preserving every other face-down card's order."
"jackpot","Jackpot","legendary","30","true","unique","0.75","","Meta progression >= 30","Pulls all remaining face-down 7s to the top of the face-down deck, preserving every other face-down card's order."
"emergency_cord","Emergency Cord","legendary","30","true","unique","0.75","","Meta progression >= 30","Gain 10 Nudge +1 and 10 Nudge -1, then shuffle two random Yellow Jokers into the face-down deck."
"twos_company","Two's Company","uncommon","0","true","unique","0.9","","Available from run start","Mark the next face-down 2 in the deck with a temporary 2 on its back."
"refund","Refund","rare","0","true","unique","0.8","","Available from run start","After your next guess, unnecessary current-card nudges used this turn are returned."
"tear_corner","Tear Corner","common","40","true","unique","1","","Meta progression >= 40","Tear off the top left corner of the current face card so it can be recognised in future runs."
"banish_it","Banish It","uncommon","30","true","unique","0.8","","Meta progression >= 30","Send the current face-up card to the back of the deck and turn over the next card."
"swap","Swap","uncommon","0","true","repeatable","1","","Available from run start","Swap the current face-up card with the next face-down card."
"green_energy_boost","+5 Energy","common","0","true","repeatable","1","","Available from run start","Energy decks only. Gain 5 Energy instantly."
